电影名,电影链接,电影详情,工作人员,评论人数,豆瓣评分
死亡诗社,https://movie.douban.com/subject/1291548/,1989 / 美国 / 剧情,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,417925人评价,9
两杆大烟枪,https://movie.douban.com/subject/1293350/,1998 / 英国 / 剧情 喜剧 犯罪,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,372119人评价,9.1
飞越疯人院,https://movie.douban.com/subject/1292224/,1975 / 美国 / 剧情,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,376193人评价,9.1
消失的爱人,https://movie.douban.com/subject/21318488/,2014 / 美国 / 剧情 犯罪 悬疑 惊悚,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,529544人评价,8.7
告白,https://movie.douban.com/subject/4268598/,2010 / 日本 / 剧情 惊悚,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,470692人评价,8.7
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,2014 / 日本 / 剧情,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,228946人评价,9
大鱼,https://movie.douban.com/subject/1291545/,2003 / 美国 / 剧情 家庭 奇幻 冒险,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,350318人评价,8.8
一一,https://movie.douban.com/subject/1292434/,2000 / 中国台湾 日本 / 剧情 爱情 家庭,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,211524人评价,9
我不是药神,https://movie.douban.com/subject/26752088/,2018 / 中国大陆 / 剧情 喜剧,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,1195577人评价,9
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,2017 / 意大利 法国 巴西 美国 荷兰 德国 / 剧情 爱情 同性,导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...,331991人评价,8.8
阳光姐妹淘,https://movie.douban.com/subject/4917726/,2011 / 韩国 / 剧情 喜剧,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,381206人评价,8.8
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,1995 / 美国 奥地利 瑞士 / 剧情 爱情,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,329923人评价,8.8
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,1993 / 香港 / 喜剧 奇幻 武侠 古装,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,387709人评价,8.7
甜蜜蜜,https://movie.douban.com/subject/1305164/,1996 / 香港 / 剧情 爱情,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,309355人评价,8.8
