项目名称,项目编号,发包方名称,发包方联系人,时间,合同金额
5号研发楼（北京炼焦化学厂能源研发科技中心项目）,2019F20005661,北京首华建设经营有限公司,徐维恒,2019-06-24 00:00:00.0,1066323.90
顺义区委政法委、区检察院联合办公楼维修改造工程-弱电工程,2019F20005025,北京益泰牡丹电子工程有限责任公司,丁燕,2019-06-24 00:00:00.0,650000.00
北京东站货场铁路职工住房项目A地块工程临设土建分包工程,2019F20005241,中铁建设集团有限公司,赵伟,2019-06-25 00:00:00.0,714051.09
经海一路（科创十七街～科创六街）道路改造工程3标段 文明施工合同,2019F20005304,北京市市政二建设工程有限责任公司,/,2019-06-25 00:00:00.0,462000.00
北京建工集团党校学员宿舍楼装修改造工程—装修工程,2019F20005414,北京市第五建筑工程集团装饰工程有限公司,齐瑞,2019-06-24 00:00:00.0,962014.31
天坛街道2018年百街千巷环境整治提升TT-4工程-水道子胡同、西园子三巷室外道路维修改造,2019F20004957,北京市市政一建设工程有限责任公司,高飞,2019-06-24 00:00:00.0,450000.00
北京建工集团党校学员宿舍楼装修改造工程—安装工程,2019F20005382,北京市第五建筑工程集团装饰工程有限公司,/,2019-06-24 00:00:00.0,991836.67
密云区G234国道大修工程（k62+220-k81+600),2019F20005155,北京路桥瑞通养护中心有限公司,王凤平,2019-06-23 00:00:00.0,843660.00
首都体育馆改扩建等项目,2019F20005005,中国建筑第八工程局有限公司,校荣春,2019-06-23 00:00:00.0,9988116.78
地铁14号线15标高家园缓建工程竖井、换乘通道、风道及出入口暗挖工程,2019Z20001256,北京市政建设集团有限责任公司,刘其铎,2019-06-23 00:00:00.0,9875000.00
北京轨道交通新机场线一期工程土建03标二工区03段,2019Z20001171,北京市政路桥股份有限公司,李军,2019-06-24 00:00:00.0,1638800.00
延崇高速公路（北京段）工程第八合同段桥梁施工,2019F20005211,中铁十五局集团有限公司,张喜胜,2019-06-24 00:00:00.0,2050000.00
门头沟新城冯村地区（一期）居住项目A地块东区（二期）洋房工程,2019F20005068,华润建筑有限公司,孙永强,2019-06-23 00:00:00.0,2850544.53
广渠路东延（怡乐西路-东六环路）道路工程2#标段,2019F20005160,北京市政路桥管理养护集团有限公司,李青林,2019-06-23 00:00:00.0,593800.00
昌平区南邵镇（昌平新城东区六期（东））0302-57地块F1住宅混合公建用地（配建“公共租赁住房”项目。（1#商品住宅等5项）-消防项目,2019F20005018,北京奥信建筑工程设备安装有限公司,赵剑,2019-06-23 00:00:00.0,860308.00
首钢二通厂南区棚改定向安置房项目1615-680、681、682地块热计量系统采购及安装工程,2019Z20001198,北京易成市政工程有限责任公司,强兵,2019-06-23 00:00:00.0,3721000.00
5#住宅楼等6项机电安装劳务工程,2019F20005583,中国建筑第八工程局有限公司,黄克斯,2019-06-25 00:00:00.0,12647969.46
北京环球影城主题公园,2019F20005057,中铁建设集团有限公司,谭雪彪,2019-06-25 00:00:00.0,838235.48
北京市西城区二环路日常养护、重大活动及节假日设施保障、防巡养一体化等工程,2019F20005537,北京市政路桥管理养护集团有限公司,李青林,2019-06-25 00:00:00.0,966355.00
地下工程等16项（融坤养老中心建设项目）A1外幕墙工程,2019F20005477,山东泰丰工程集团有限公司,汤占峰,2019-06-25 00:00:00.0,435000.00
北京信息科技大学新校区建设工程风雨操场等公共用房和研究生、留学生宿舍组团项目脚手架工程,2019Z20001283,北京建工集团有限责任公司,樊军,2019-06-25 00:00:00.0,2160022.00
PD 幕墙工程,2019F20005101,北京东方泰洋装饰工程有限公司,郑卫兵,2019-06-26 00:00:00.0,1540000.00
北京市平谷区金海湖镇韩庄村 PG06-0100-6001、6002、6004、C-008、C-012 地块 B1 商业用地项目（A-1#商业楼等 13 项、B-1# 商业楼等 9 项、C-1#商业楼等 30 项、D-1#商业楼等 22 项、E-1#商业楼等 15 项）工程护坡及降水专业分包工程,2019F20005229,北京波森特岩土工程有限公司,/,2019-06-25 00:00:00.0,510000.00
通州区台湖镇104地块F3其他类多功能用地项目（6#楼（办公）等8项）（9#楼地上、7#8#9#楼地下结构及车库部分）,2019Z20001178,北京城建七建设工程有限公司,陈新,2019-06-25 00:00:00.0,7507918.36
丰台河西再生水厂二期政府与社会资本合作（PPP）项目,2019Z20001189,北京市市政四建设工程有限责任公司,/,2019-06-26 00:00:00.0,9640085.37
信息与控制综合试验楼改造工程,2019F20005252,内蒙古一机集团新兴建筑安装有限责任公司,赵香珍,2019-06-26 00:00:00.0,3098782.00
12#生产厂房等2项（北京MAX空港研发创新园B区工程）-给排水工程劳务分包,2019F20005087,北京天源建筑工程有限责任公司,赵建志,2019-06-26 00:00:00.0,584496.50
北京市丰台区市属道路养护工程,2019Z20001233,北京市政路桥管理养护集团有限公司,李青林,2019-06-26 00:00:00.0,5838000.00
三联书店屋面瓦及外墙瓷砖安全维护项目,2019F20005115,北京侨兴达装饰工程有限公司,张建兵,2019-06-26 00:00:00.0,300000.00
国资委物资机关服务中心物资机关幼儿园综合整治项目劳务专业分包,2019F20005476,北京房地集团有限公司,-,2019-06-26 00:00:00.0,1955565.83
通州区张采路附属设施中修工程（K0+000-K4+000）,2019F20005280,北京路桥瑞通养护中心有限公司,王凤平,2019-06-26 00:00:00.0,495652.00
房山区国道234（紫码路-周新路）大修工程第2标段,2019F20005302,北京鑫实路桥建设有限公司,谷天利,2019-06-26 00:00:00.0,490000.00
北京新机场临空经济区市政交通配套工程大礼路（大广高速-京台高速）,2019F20005779,中铁建设集团有限公司,赵伟,2019-06-26 00:00:00.0,9170459.81
2019年静安西街等道路大修工程施工3标-成寿寺路（南三环东路-南四环东路）大修工程,2019Z20001232,北京鑫旺路桥建设有限公司,陈旭东,2019-06-26 00:00:00.0,1956000.00
2018年怀柔区普通公路水毁设施恢复重建工程-K80+900,2019F20005289,北京路桥瑞通养护中心有限公司,王凤平,2019-06-27 00:00:00.0,496950.00
北京万科密云弗农小镇项目,2019F20005100,北京东方泰洋装饰工程有限公司,郑卫兵,2019-06-26 00:00:00.0,2091920.00
后厂村路新建信号灯,2019F20005538,北京市政路桥管理养护集团有限公司,李青林,2019-06-27 00:00:00.0,66250.00
后厂村路新建信号灯,2019F20005535,北京市政路桥管理养护集团有限公司,李青林,2019-06-27 00:00:00.0,199800.00
采林路（张凤路-漷小路）道路工程-绿化工程,2019F20005279,北京路桥海威园林绿化有限公司,王化从,2019-06-27 00:00:00.0,250040.00
民乐大厅南墙上部广告牌改造工程,2019F20005313,北京宏基富隆建筑装饰工程有限公司,张之贵,2019-06-27 00:00:00.0,200000.00
荷清路3号院景观提升改造项目,2019F20005523,北京路桥海威园林绿化有限公司,王化丛,2019-06-27 00:00:00.0,908197.60
2018年怀柔区普通公路水毁设施恢复重建工程-天池峡桥,2019F20005290,北京路桥瑞通养护中心有限公司,王凤平,2019-06-27 00:00:00.0,376950.00
民和兴南墙上部广告牌改造工程,2019F20005314,北京宏基富隆建筑装饰工程有限公司,张志贵,2019-06-27 00:00:00.0,260000.00
中国医学科学院肿瘤医院住院综合楼机电分包工程,2019F20005588,中铁建设集团设备安装有限公司,谭学彪,2019-06-28 00:00:00.0,885394.88
大兴区采育镇区01-0119地块R2二类居住用地项目（1#住宅楼等28项）8#-23#住宅楼、24#配电室、地下车库南区项目,2019Z20001298,北京城建七建设工程有限公司,/,2019-06-28 00:00:00.0,7126470.78
东城区崇文门外大街8号院1号楼12层西塔1204-1号楼装修、机电改造工程,2019F20005735,北京格林贝斯装饰工程有限公司,李振峰,2019-06-28 00:00:00.0,185423.00
