项目名称,项目编号,发包方名称,发包方联系人,时间,合同金额
北京大兴魏善庄AA-25地块3#楼4单元精装修工程,2019Z20001369,北京城建八建设发展有限责任公司,李金海,2019-07-15 00:00:00.0,4937605.00
2019年门头沟区何各庄桥1、煤厂桥、军庄浸水桥中修工程,2019F20005764,北京路桥瑞通养护中心有限公司,王凤平,2019-07-15 00:00:00.0,91545.00
门头沟新城曹各庄桥户营C地块市政配套工程（一期）--绿化工程,2019F20005950,北京市政路桥管理养护集团有限公司,李青林,2019-07-11 00:00:00.0,95066.00
永定门东街污水1线更新改造工程,2019F20005841,北京北排建设有限公司,石磊,2019-07-14 00:00:00.0,558054.00
2019年度北京市平谷区普通公路日常保养,2019Z20001420,北京路桥瑞通养护中心有限公司,王凤平,2019-07-15 00:00:00.0,8960882.00
密云区2018年第二批乡村公路大修工程第二标段,2019F20005952,北京鑫旺路桥建设有限公司,陈旭东,2019-07-14 00:00:00.0,195000.00
南海子郊野公园（原三海子郊野公园）二期园林景观工程灌溉、生活消防、中水、给水干管工程二标段（劳务2标）,2019F20005767,北京市市政三建设工程有限责任公司,/,2019-07-15 00:00:00.0,499000.00
平谷区泃河新城段（上纸寨-洳河汇入口）治理工程施工二标段,2019F20005700,北京鑫旺路桥建设有限公司,陈旭东,2019-07-11 00:00:00.0,150250.00
北京市中医药大学良乡校区东院科研综合实验楼（A15）工程-机电安装工程,2019F20004980,中国新兴建设开发有限责任公司,马健峰,2019-06-20 00:00:00.0,2709500.00
通州区张采路（K4+000-K17+440）大修工程第二标段,2019Z20001231,北京路桥瑞通养护中心有限公司,王凤平,2019-06-20 00:00:00.0,2127233.30
配合拆违燃气管道改造,2019F20005144,北京市煤气工程有限公司,张锡勇,2019-06-20 00:00:00.0,42500.00
房山区山区人口迁移良乡安置项目二期B区二标段二次结构及装修工程,2019Z20001363,北京城建十六建筑工程有限责任公司,卢健,2019-06-20 00:00:00.0,2200000.00
南湖中园社区中心广场便民设施完善项目,2019F20005242,北京华徽建设发展有限公司,吴军,2019-06-20 00:00:00.0,28116.00
海淀区3-3-263项目地下燃气工程,2019F20005150,北京市煤气工程有限公司,张锡勇,2019-06-20 00:00:00.0,244800.00
历代帝王庙修缮项目,2019F20005173,北京房地集团有限公司,陈会征,2019-06-20 00:00:00.0,4820000.00
太师屯镇龙潭沟村灾后重建项目后续工程,2019F20005055,北京鑫旺路桥建设有限公司,陈旭东,2019-06-20 00:00:00.0,477000.00
通州区永顺镇商务园D1北区(D1-2地块)项目(D01(办公楼)等4项)二次结构及装修劳务工程--一标段,2019Z20001212,北京住总集团有限责任公司,王宝申,2019-06-20 00:00:00.0,4335000.00
北京地铁17号线广渠门外站、广渠门外站-永安里站区间钢格栅加工,2019F20005464,中铁十四局集团有限公司,-,2019-06-20 00:00:00.0,1984320.12
台湖镇109地块F3其他类多功能用地项目（3#楼（办公））,2019Z20001370,北京城建十六建筑工程有限责任公司,卢健,2019-06-20 00:00:00.0,4900000.00
北京新机场工作区工程房建项目施工二标段-混凝土地面施工,2019F20005217,北京城建北方集团有限公司,张权,2019-06-20 00:00:00.0,230859.05
平西府项目落地区7#、8#、11#楼,2019F20004903,北京金海龙机电工程有限责任公司,刘宁,2019-06-20 00:00:00.0,360000.00
北京世界园艺博览会园区地下综合管廊工程,2019F20004967,北京市政路桥股份有限公司,李军,2019-06-20 00:00:00.0,490000.00
保利罗兰香谷二期项目市政工程,2019F20005286,北京市市政六建设工程有限公司,张春发,2019-06-17 00:00:00.0,445681.11
北京城市副中心行政办公区6#能源站工程,2019F20005703,北京市设备安装工程集团有限公司,-,2019-06-17 00:00:00.0,980000.00
4#仓库、5#仓库、配套管理用房2、门卫房1、门卫房2（通州口岸（YZ00-0606-0019地块）项目）-室外道路工程,2019F20005649,北京城建道桥建设集团有限公司,姚自然,2019-06-19 00:00:00.0,958652.13
北京航空航天大学沙河校区公共实验楼（组团3二期）及人防配套项目主体结构工程,2019Z20001133,北京城建一建设发展有限公司,朱卫泽,2019-06-17 00:00:00.0,7403616.00
半壁店新村涉及高压架空线迁改工程（半壁店新村电力隧道）（第一标段） （劳务3标）,2019Z20001172,北京市市政三建设工程有限责任公司,-,2019-06-17 00:00:00.0,4574200.00
工银科技有限公司办公楼装修改造项目（机电分项工程）,2019F20004853,北京群成装饰工程有限公司,王学文,2019-06-19 00:00:00.0,1363800.00
4#仓库、5#仓库、配套管理用房2、门卫房1、门卫房2（通州口岸（YZ00-0606-0019地块）项目）-室外给排水工程,2019F20005647,北京城建道桥建设集团有限公司,姚自然,2019-06-19 00:00:00.0,850145.14
北京地铁六号线西延工程土建施工06合同段苹果园站明挖换乘厅劳务施工,2019F20005097,中铁十四局集团有限公司,-,2019-06-19 00:00:00.0,7000000.00
丰台区南苑乡石榴庄村0517-659等地块住宅混合公建基础教育及医疗卫生间用地（配建“公共租赁住房”）项目660地块小市政工程,2019F20005053,北京易成市政工程有限责任公司,强兵,2019-06-19 00:00:00.0,357400.00
延庆区康庄镇大王庄村一标段、二标段、京张高铁、小曹营通风系统工程,2019F20004914,北京城建安装集团有限公司,李玉华,2019-06-19 00:00:00.0,980000.00
建筑垃圾资源化处置项目,2019Z20001058,北京市市政四建设工程有限责任公司,-,2019-06-19 00:00:00.0,2257920.00
京南昌达物流园一期市政配套工程劳务1#标,2019Z20001222,北京市市政一建设工程有限责任公司,-,2019-06-19 00:00:00.0,3198095.00
翠湖科技园规划横十道路工程、排水工程、再生水工程、燃气工程、热力工程二标段,2019F20004972,北京市常青市政工程有限公司,任有旺,2019-06-20 00:00:00.0,493000.00
技术检测中心生产用房改造整修工程,2019F20005585,北京万兴建筑集团有限公司,吕保明,2019-06-20 00:00:00.0,991259.40
2019年延庆区兴阳路（K220+300-K223+650）中修工程,2019F20004969,北京路桥瑞通养护中心有限公司,王凤平,2019-06-17 00:00:00.0,336000.00
电子城北广数字新媒体创新产业园工程,2019F20004759,北京政华建业建设投资有限公司,邸朝群,2019-06-17 00:00:00.0,257215.58
平谷区金海湖镇配套电力设施工程（韩庄西路段、东老虎山东路段、胡陡路段）（二标段）,2019F20004960,北京市市政六建设工程有限公司,/,2019-06-17 00:00:00.0,411034.35
北京大兴国际机场供油工程燃气工程,2019F20004810,北京市市政四建设工程有限责任公司,/,2019-06-17 00:00:00.0,290040.94
2019年静安西街等道路大修工程施工4标-成寿寺路（南四环东路——亦庄西环北路）大修工程——1#标,2019F20005529,北京市市政一建设工程有限责任公司,高飞,2019-06-17 00:00:00.0,991558.00
北京城市副中心行政办公区综合管廊工程（职工周转房北区地块）施工总承包（一标段）,2019F20005306,北京城乡建设集团有限责任公司,任克强,2019-06-17 00:00:00.0,804380.58
星光影视园北区A组团及招商中心小市政工程,2019F20005056,北京市市政六建设工程有限公司,/,2019-06-17 00:00:00.0,467249.00
北京城市副中心职工周转房（北区）项目三标段外线消防水工程劳务分包工程,2019F20005098,北京奥信建筑工程设备安装有限公司,赵剑,2019-06-17 00:00:00.0,350000.00
校场头条合流更新改造工程,2019F20005166,北京北排建设有限公司,石磊,2019-06-17 00:00:00.0,86911.40
来广营北路地下综合管廊工程融资+施工总承包-(2+565~3+460)管道工程、专业管线出线预留工程,2019Z20001132,北京市政建设集团有限责任公司,刘其铎,2019-06-17 00:00:00.0,8605423.03
大兴区黄村镇林海路大修工程,2019F20005521,北京市政路桥管理养护集团有限公司,李青林,2019-06-17 00:00:00.0,403775.00
古城南街（石景山路~莲石西路）道路工程1#标段（通信改移）工程,2019Z20001070,北京市市政一建设工程有限责任公司,高飞,2019-06-17 00:00:00.0,3015309.00
北京轨道交通八通线二期(南延)工程土建施工02合同段施园站附属结构明挖主体结构劳务分包工程,2019Z20000749,北京住总集团有限责任公司,王宝申,2019-06-17 00:00:00.0,15621897.00
宋庆龄故居卫生间改造工程,2019F20005901,北京首华建设经营有限公司,-,2019-06-17 00:00:00.0,150000.00
工字楼改造装修工程,2019Z20001041,北京城建十六建筑工程有限责任公司,唐保民,2019-06-17 00:00:00.0,4721724.00
2019年静安西街等道路大修工程施工4标-成寿寺路（南四环东路-亦庄西环北路）大修工程-2#标,2019F20005278,北京市市政一建设工程有限责任公司,/,2019-06-18 00:00:00.0,960712.00
北京城市副中心配水干线工程,2019F20005307,北京城乡建设集团有限责任公司,李国祥,2019-06-18 00:00:00.0,691117.43
门头沟区石担路（K0+000一K13+000）预防性养护工程,2019F20004976,北京路桥瑞通养护中心有限公司,王凤平,2019-06-18 00:00:00.0,854231.00
门头沟区G234（潭柘寺一王平村）预防性养护工程,2019F20004973,北京路桥瑞通养护中心有限公司,王凤平,2019-06-18 00:00:00.0,547905.00
新机场高速公路地下综合管廊（南四环-新机场）工程一期土建施工GLS03结构工程,2019F20004858,中铁六局集团有限公司,季志华,2019-06-18 00:00:00.0,3421232.00
北京轨道交通八通线二期（南延）工程土建施工01合同段土-施盾构区间洞门环梁及洞门破除劳务工程,2019F20005577,北京住总集团有限责任公司,蔡永立,2019-06-19 00:00:00.0,312000.00
八一大楼部分楼层服务场所整修工程,2019F20005907,北京首华建设经营有限公司,-,2019-06-19 00:00:00.0,120000.00
东城区望坛棚户区改造项目 11 标段,2019F20005218,北京城建华夏基础建设工程有限公司,仲建军,2019-06-18 00:00:00.0,540000.00
京通快速路八里桥站区混凝土广场改造工程,2019F20004956,北京市政路桥管理养护集团有限公司,李青林,2019-06-18 00:00:00.0,252000.00
台湖项目104地块9号楼临时售楼处机电工程,2019F20004915,北京城建安装集团有限公司,李玉华,2019-06-19 00:00:00.0,406000.00
延庆区延庆新城03街区07地块给排水劳务分包,2019Z20001017,北京建工集团有限责任公司,樊军,2019-06-19 00:00:00.0,2415000.00
北京城市副中心职工周转房项目施工总承包（B3标段）3-2、3-3、4-1#楼座等二次结构及装修劳务工程,2019Z20001210,北京住总集团有限责任公司,/,2019-06-19 00:00:00.0,5965829.96
北京地铁17号线工程土建施工23合同段主体结构工程,2019F20004983,中铁十六局集团有限公司,王令键,2019-06-19 00:00:00.0,999362.00
东直门外斜街（东直门外大街~新东路）道路环保工程,2019Z20001118,北京市市政六建设工程有限公司,/,2019-06-17 00:00:00.0,1261603.01
北京新机场临空经济区市政交通配套工程永兴河（大广高速-磁大路）工程劳务1标,2019Z20001141,北京市市政六建设工程有限公司,-,2019-06-17 00:00:00.0,2700000.00
1、小学等2项、6011-1#住宅楼等9项、6011-1#地下车库（二段）、6011-8#商业办公等2项（平谷区平谷填、王辛庄镇PG00-0002-6011、6013、6014、6015、6018等地块）--9#楼,2019F20005734,中航天建设工程有限公司,李扣春,2019-06-19 00:00:00.0,3871146.34
2019年静安西街等道路大修工程施工3标-成寿寺路（南三环东路-南四环东路）大修工程,2019F20004961,北京鑫旺路桥建设有限公司,陈旭东,2019-06-18 00:00:00.0,355000.00
天坛街道2018年百街千巷环境整治提升TT-4工程-东晓市一巷、西园子四巷室外道路维修改造,2019F20004963,北京市市政一建设工程有限责任公司,/,2019-06-17 00:00:00.0,490000.00
中核宾馆安全改造工程结构加固及拆除,2019F20004904,北京中技天建建筑工程有限公司,赵伟,2019-06-18 00:00:00.0,5200000.00
衙门口棚户区改造土地开发项目环保措施劳务2标,2019Z20001008,北京市市政四建设工程有限责任公司,/,2019-06-18 00:00:00.0,7184660.00
2019年度北京市通州区大运河森林公园绿化养护项目（第四包）,2019Z20001050,北京路桥海威园林绿化有限公司,王化丛,2019-06-18 00:00:00.0,9617400.00
海淀区魏公村小区棚户区改造项目（南区）外幕墙工程,2019F20005385,北京东方泰洋装饰工程有限公司,郑卫兵,2019-06-18 00:00:00.0,1030000.00
A楼（办公及商业用房）等2项及地下车库（通州运河核心区IX-02地块F3其他类多功能用地项目）（二次结构及装修I标段）,2019F20005003,中建二局第三建筑工程有限公司,张方宾,2019-06-18 00:00:00.0,8373009.06
玉-5#楼项目,2019F20005142,北京世纪晟天空调设备安装有限责任公司,无,2019-06-18 00:00:00.0,1520000.00
八一电影制片厂第四期经济适用住房工程,2019F20005006,中铁建设集团有限公司,郝长江,2019-06-18 00:00:00.0,1859024.76
广渠路东延（怡乐西路-东六环路）道路工程2#标段,2019F20004977,北京市政路桥管理养护集团有限公司,李青林,2019-06-18 00:00:00.0,706100.00
641地块项目,2019F20005143,北京世纪晟天空调设备安装有限责任公司,王恒,2019-06-18 00:00:00.0,1350000.00
和平街校区基础医学院楼装修阶段劳务工程,2019F20005395,中煤建设集团工程有限公司,孟瑞华,2019-06-19 00:00:00.0,4754200.00
航空工业信息中心科研办公楼道路铺装及围墙建设工程劳务分包,2019F20005159,北京易成市政工程有限责任公司,强兵,2019-06-18 00:00:00.0,20000.00
4#仓库、5#仓库、配套管理用房2、门卫房1、门卫房2（通州口岸（YZ00-0606-0019地块）项目）-室外电气、消防水系统、调蓄池、围墙工程,2019F20005650,北京城建道桥建设集团有限公司,姚自然,2019-06-19 00:00:00.0,791202.73
清华大学第四教学楼装修改造项目,2019Z20001120,北京市市政六建设工程有限公司,/,2019-06-17 00:00:00.0,1860505.73
羲和小馆（国贸东楼店）天然气工程,2019F20005148,北京市煤气工程有限公司,张锡勇,2019-06-20 00:00:00.0,118300.00
北京大学餐饮综合楼等2项（餐饮综合楼）,2019F20004864,北京中建华宇机电工程有限公司,丁志华,2019-06-19 00:00:00.0,430000.00
国贸翠园天然气工程,2019F20005149,北京市煤气工程有限公司,张锡勇,2019-06-20 00:00:00.0,314000.00
9#、10#、11#、14#住宅楼、2#车库南区、3#配电室、垃圾站（昌平新城回迁小区定向安置房项目）,2019F20005434,南通建工集团股份有限公司,张向阳,2019-06-20 00:00:00.0,21039732.00
寿比胡同6号综合维修工程,2019F20005565,北京国煤建装饰有限责任公司,张友明,2019-06-19 00:00:00.0,150000.00
南湖中园社区安全出行路面改造项目,2019F20005243,北京华徽建设发展有限公司,吴军,2019-06-20 00:00:00.0,51445.00
门头沟区石担路（K0+000-K13+000）预防性养护工程,2019F20005298,北京路桥瑞通养护中心有限公司,王凤平,2019-06-20 00:00:00.0,399137.00
北京城市副中心职工周转房项目施工总承包（B3标段）地下一层（东区）及部分楼座二次结构及装修劳务工程,2019Z20001202,北京住总集团有限责任公司,王宝申,2019-06-21 00:00:00.0,10638075.88
大兴新城北区全民健身中心景观工程,2019Z20001277,北京市第五建筑工程集团有限公司,纪如碧,2019-06-21 00:00:00.0,4743427.00
密云区“7.16”水毁乡村公路及桥梁修复工程第1标段施工,2019Z20001193,北京路桥瑞通养护中心有限公司,王凤平,2019-06-21 00:00:00.0,8580400.00
北京新机场东航基地项目一阶段工程第I标段（核心工作区）消防分包工程,2019F20004989,北京安迪盛安全系统自动化有限公司,郑会余,2019-06-21 00:00:00.0,76800.00
门头沟区G234（潭柘寺-王平村）预防性养护工程,2019F20005296,北京路桥瑞通养护中心有限公司,王凤平,2019-06-21 00:00:00.0,263195.00
朝阳区垡头地区焦化厂公租房项目第三标段,2019F20004988,北京奥成益华消防工程有限公司,孙重建,2019-06-21 00:00:00.0,268385.00
北京博源工贸有限责任公司天然气工程,2019F20005146,北京市煤气工程有限公司,张锡勇,2019-06-21 00:00:00.0,85000.00
于家务乡次中心收储项目二期地块围墙、防尘除草、看护工程（劳务四）,2019F20005156,北京市市政三建设工程有限责任公司,薛玉广,2019-06-21 00:00:00.0,300000.00
昌平区望百路（望宝川-百合村）道路工程隧道劳务工程（K2+195-K2+660段）,2019Z20001190,北京鑫旺路桥建设有限公司,陈旭东,2019-06-21 00:00:00.0,9646779.26
北京地铁16号线工程土建施工14合同段国家图书馆站附属工程、区间联络通道及万寿寺站后浇环梁工程,2019Z20001137,北京市政建设集团有限责任公司,刘其铎,2019-06-22 00:00:00.0,6113706.00
北京城市副中心职工周转房项目施工总承包（B3标段）地下二层（东区）及部分楼座二次结构及装修劳务工程,2019Z20001209,北京住总集团有限责任公司,王宝申,2019-06-20 00:00:00.0,9871026.62
{中海枫丹公馆}项目热力站,2019F20004958,北京易成市政工程有限责任公司,强兵,2019-06-20 00:00:00.0,499900.00
北京城市副中心职工周转房项目施工总承包（B3标段）地下一层（西区）二次结构及装修劳务工程,2019Z20001211,北京住总集团有限责任公司,/,2019-06-19 00:00:00.0,3609001.56
2019年桥梁日常养护应急、保障工程,2019F20004916,北京公联洁达公路养护工程有限公司,董岩,2019-06-19 00:00:00.0,1853962.00
天通泰中以文化数码科技园项目自来水、中水工程,2019F20005169,北京宝顺通市政工程有限公司,李宝国,2019-06-19 00:00:00.0,210000.00
北京城市副中心职工周转房项目施工总承包（B3标段）地下二层（西区）及部分楼座二次结构及装修劳务工程,2019Z20001199,北京住总集团有限责任公司,-,2019-06-19 00:00:00.0,10448215.78
2019年四环辅路（惠新东桥-四元桥）等5项大修工程-施工2标四环辅路（惠新东桥-安慧桥）大修工程,2019Z20001144,北京光亚市政工程有限公司,牛存良,2019-06-20 00:00:00.0,4640831.00
肖村公共租赁住房精装5#、6#、7#楼地下室水电劳务分包工程,2019F20005847,北京住总第六开发建设有限公司,靳国忠,2019-06-20 00:00:00.0,960074.29
3#办公楼等五项粗装修工程（A、B座）,2019F20005751,黑龙江博润建筑装饰工程有限公司,陈凤春,2019-06-20 00:00:00.0,2138766.97
2#生产试验车间（第三代半导体材料及应用联合创新基地一期工程）,2019F20005083,中北华宇建筑工程公司,王金良,2019-06-20 00:00:00.0,2000000.00
通州区东方厂周边棚户区改造安置房项目四标段土消防泵房工程,2019F20005308,北京中消长城消防安全工程有限公司,许鹭,2019-06-20 00:00:00.0,120000.00
第三、四阶段昌平区中小河道治理工程,2019F20005158,北京市市政四建设工程有限责任公司,陈建华,2019-06-20 00:00:00.0,105000.00
肖村公共租赁住房精装5#楼劳务分包工程,2019F20005845,北京住总第六开发建设有限公司,靳国忠,2019-06-20 00:00:00.0,979239.00
分子科学前沿交叉研究平台及分子科学创新研究平台(实验及科研）A楼等4项（分子科学创新研究平台及分子科学前沿交叉研究平台、化学所中关村5号园区公共食堂改建项目）玻璃幕墙工程,2019F20005400,斯特龙装饰股份有限公司,贾轩,2019-06-20 00:00:00.0,3566631.10
